b_rr,b_cosi,b_epoch,b_f_c,b_f_s,b_lambda,A_rstar,A_logmstar,A_teff,A_feh,A_vsini,A_vline_TRES,A_dt_errscale_TRES,lnprob
0.08522039804265628,0.08642094244011338,2457287.7468361966,-0.08502397917516125,-0.05059701452356366,-2.0125704088644403,1.6488446865698685,0.25970054860819863,7451.440239231309,0.0004844737228167891,44.16736539549633,5.503663932476818,9.999851947973992,-29.558720142967175
0.08517399320138157,0.08786697023400591,2457287.747641897,-0.06725179891569949,-0.08627374127526267,-2.018114105831406,1.644807844787164,0.2592090998175423,7452.770622937839,-0.0032369156616106655,44.236622621914975,5.469994332124212,9.99988574567577,-29.557209223005195
0.08613261524664281,0.08835026267044341,2457287.748121574,-0.2111707655886054,-0.0459853015430509,-2.015381703136479,1.6467580168445823,0.2594602581861991,7455.454178668439,-0.0015800125317758835,44.20746566973509,5.465190049543121,9.999903558733083,-29.557156238735846
0.08641431259244534,0.08783649359217732,2457287.7464681654,-0.3432324405295929,-0.045550980475631886,-2.0300667394221943,1.6484818475004805,0.26200142284892797,7453.546694178798,-0.0040035890698688365,44.192288087578845,5.477860359426823,9.999655985740945,-29.559514918367334
0.08683564191136789,0.08734045847331376,2457287.7478426127,0.08610802127232695,-0.1013671689146162,-2.020561008168166,1.6436385098759132,0.2593988135113243,7454.790271753865,-0.0043787036849422456,44.216768307212504,5.476722946510147,9.999502812951013,-29.558826945793577
0.08597659671838956,0.08647034916324417,2457287.7476683455,-0.1243550232074124,-0.1007684496204738,-2.031344338153339,1.6461954381633064,0.25935078307606657,7454.59970535416,0.0011622584608918156,44.22122606651426,5.466789287739494,9.999943331308696,-29.55718958692614
0.08636862114199316,0.08573025855257498,2457287.7459763587,-0.21629284279893396,-0.08272985066903331,-2.012927631978931,1.6496758523560522,0.25969259705665093,7456.439861388852,-0.0015385445584684217,44.2632555142727,5.486548225566736,9.999896837652747,-29.56272426088335
0.08717085484677435,0.08628897907297593,2457287.747214642,-0.19612207448697866,-0.08224651572275782,-2.024164204142888,1.6456926794818298,0.2605099620923509,7454.660966305779,-0.0036713049687101167,44.152611178506206,5.473764963750555,9.999945668277133,-29.5557476312025
0.0855020049850975,0.08735102715554079,2457287.748733836,0.022643059796283033,-0.08612429213671526,-2.007113202276042,1.6473827291270065,0.26098580111070535,7456.497134817792,-0.00031562489025820117,44.20562683395655,5.470079893518748,9.99988479422352,-29.558698083513566
0.08572056932812964,0.0867492282216575,2457287.7464465126,-0.2348681841451536,-0.07475472240007587,-2.024362067482183,1.6457376662205132,0.25940076787184596,7453.68658038167,-0.0025601070211043082,44.24258289789354,5.482848677312413,9.99983005823719,-29.556047738690197
