2457834.6127940002,1.1230000000,0.0135000000
2457835.5591960000,1.2080000000,0.0150000000
2457836.6533440002,1.2290000000,0.0136000000
2457845.5749889999,1.0472000000,0.0120000000
2457865.4957900001,1.0241000000,0.0161000000
2457867.4838740001,1.1422000000,0.0101000000
2457877.4638430001,1.0787000000,0.0134000000
2457890.4216979998,1.1436000000,0.0153000000
2457893.4443160002,1.1165000000,0.0116000000
2457894.4701649998,1.1840000000,0.0099000000
2457895.4113150002,1.2368000000,0.0115000000
2457896.5127909998,1.1859000000,0.0131000000
