2459269.9084351999,0.0135000000,0.0024800000
2459269.9223259999,0.0002000000,0.0026000000
2459269.9362627999,0.0134800000,0.0024300000
2459269.9486596002,0.0276900000,0.0024500000
2459269.9608952999,0.0227400000,0.0021500000
2459269.9726900002,0.0285700000,0.0021700000
2459269.9833395998,0.0148400000,0.0023400000
2459269.9942672998,0.0097200000,0.0023800000
2459270.0056110001,-0.0010300000,0.0022900000
2459270.0177767002,-0.0253600000,0.0022500000
2459270.0308685000,-0.0197400000,0.0023300000
2459270.0447013001,-0.0258000000,0.0023400000
2459270.0586611000,-0.0415700000,0.0024100000
2459270.0740220002,-0.0074000000,0.0027700000
2459270.0876928000,-0.0029400000,0.0028300000
2459270.1023936998,-0.0221200000,0.0030100000
2459270.1153344000,-0.0147800000,0.0033700000
2459270.1577009000,-0.0166200000,0.0025900000
