2457804.7517220001,1.2580300000,0.0238900000
2457814.7924529999,1.2038400000,0.0234400000
2457815.6689090002,1.3111900000,0.0296700000
2457817.6781370002,1.2725500000,0.0322700000
2457818.7236819998,1.1534800000,0.0218300000
2457820.7548340000,1.1413700000,0.0224700000
2457821.8520539999,1.2930000000,0.0274500000
2457823.8741910001,1.2941400000,0.0277800000
2457832.7142630001,1.1046500000,0.0309300000
2457836.6811879999,1.3112200000,0.0338300000
2457850.7176319999,1.2239400000,0.0282000000
2457851.8233850002,1.0924300000,0.0345000000
