2459516.5938911298,1.7041314001,0.0008828849
2459516.5981693598,1.6971689044,0.0009037883
2459516.6023191102,1.6924415832,0.0009314147
2459516.6065408499,1.6867820448,0.0009138872
2459516.6106519299,1.6798786489,0.0009955561
2459516.6148565002,1.6738172660,0.0010480215
2459516.6189974500,1.6682951041,0.0009627741
2459516.6231246898,1.6638295157,0.0009168906
2459516.6273539001,1.6575143706,0.0009238903
2459516.6315304302,1.6506242598,0.0008671292
2459516.6356044598,1.6443480955,0.0009133670
2459516.6399274301,1.6370396462,0.0009523077
2459516.6440996998,1.6348981019,0.0009271998
2459516.6482566399,1.6384381959,0.0009051662
2459516.6524375202,1.6509941540,0.0008867995
2459516.6565973498,1.6485120480,0.0008640376
2459516.6608370501,1.6453787554,0.0008173847
2459516.6649651998,1.6369357375,0.0008908250
2459516.6691183699,1.6240956708,0.0008378198
2459516.6732452400,1.6127888152,0.0008111187
2459516.6773949801,1.5993638676,0.0008574240
2459516.6816721400,1.5849455342,0.0008207680
2459516.6857840498,1.5724612442,0.0007870853
2459516.6899814699,1.5586658649,0.0008125140
2459516.6941303802,1.5438276780,0.0007742117
2459516.6982560498,1.5308800127,0.0007816777
2459516.7024661298,1.5169661556,0.0008005605
2459516.7066397499,1.5059191442,0.0007832313
2459516.7107527098,1.4993055216,0.0008272479
2459516.7149639102,1.4907048071,0.0008335267
2459516.7191311601,1.4814979070,0.0008549359
2459516.7233504299,1.4797175431,0.0008639693
2459516.7275242200,1.4900496824,0.0008139324
2459516.7318471801,1.4970303079,0.0009084498
2459516.7358308001,1.4946892640,0.0008094418
2459516.7400160101,1.4867147531,0.0008325930
2459516.7441301001,1.4809765536,0.0008452589
2459516.7484805202,1.4739774914,0.0008037710
2459516.7525633699,1.4679627727,0.0007820073
2459516.7567612599,1.4635139896,0.0007698069
2459516.7609264501,1.4552922850,0.0007866406
2459516.7650825498,1.4502424448,0.0007853068
2459516.7693213299,1.4441066796,0.0008330958
2459516.7734653498,1.4383196527,0.0007843187
2459516.7776500499,1.4342864667,0.0008020449
2459516.7818157799,1.4281090007,0.0007992733
2459516.7860140698,1.4217286503,0.0008241397
2459516.7901485399,1.4162803974,0.0008131883
2459516.7954179300,1.4102132175,0.0008142675
