2457453.9894710002,1.0053320000,0.0028350000
2457453.9910129998,1.0065510000,0.0027120000
2457453.9925560001,1.0007650000,0.0026040000
2457453.9940999998,1.0096450000,0.0025650000
2457453.9956410001,1.0070800000,0.0024740000
2457453.9971840000,1.0047450000,0.0026340000
2457453.9987220000,1.0028290000,0.0024540000
2457454.0002620001,1.0101200000,0.0023930000
2457454.0017969999,1.0105520000,0.0024230000
2457454.0033320002,0.9984790000,0.0024100000
2457454.0074689998,1.0038500000,0.0023490000
2457454.0090230000,1.0025000000,0.0023290000
2457454.0105389999,1.0076260000,0.0023390000
2457454.0120560001,1.0005420000,0.0024050000
2457454.0135730002,0.9981250000,0.0022960000
2457454.0150859999,1.0041200000,0.0024030000
2457454.0166020002,1.0004960000,0.0022800000
2457454.0181470001,1.0003510000,0.0022940000
2457454.0196949998,0.9951180000,0.0022810000
2457454.0223500002,0.9965480000,0.0022680000
2457454.0238959999,0.9943860000,0.0022520000
2457454.0254420000,0.9958540000,0.0023400000
2457454.0269590002,0.9951970000,0.0022390000
2457454.0284970002,0.9976450000,0.0022520000
2457454.0300409999,0.9969390000,0.0022250000
2457454.0315850000,0.9951280000,0.0022280000
2457454.0330989999,0.9940830000,0.0022760000
2457454.0346140000,0.9987650000,0.0022960000
2457454.0361720002,0.9965340000,0.0022740000
2457454.0390039999,0.9920730000,0.0022670000
2457454.0405529998,0.9937120000,0.0021880000
2457454.0420980002,0.9980850000,0.0021910000
2457454.0436499999,0.9931580000,0.0021850000
2457454.0451650000,0.9967570000,0.0021860000
2457454.0467090001,0.9987730000,0.0021850000
2457454.0482219998,0.9954670000,0.0021710000
2457454.0497740000,0.9973390000,0.0021660000
2457454.0512919999,0.9980130000,0.0021510000
2457454.0528070000,0.9994760000,0.0021520000
2457454.0571420002,0.9951970000,0.0021380000
2457454.0586669999,0.9978910000,0.0021370000
2457454.0601849998,0.9964510000,0.0021510000
2457454.0617069998,0.9920810000,0.0021350000
2457454.0632259999,0.9925060000,0.0021240000
2457454.0647479999,0.9920090000,0.0021340000
2457454.0662679998,0.9922720000,0.0021390000
2457454.0677899998,1.0019100000,0.0021390000
2457454.0693089999,0.9906050000,0.0021150000
2457454.0719430000,0.9954610000,0.0022030000
2457454.0734810000,0.9980150000,0.0021110000
2457454.0750299999,0.9977810000,0.0021070000
2457454.0765800001,0.9953510000,0.0021170000
2457454.0781230000,0.9956350000,0.0021100000
2457454.0796369999,0.9918100000,0.0021030000
2457454.0811510002,0.9908690000,0.0021000000
2457454.0826989999,0.9945210000,0.0021060000
2457454.0842439998,0.9948740000,0.0021010000
2457454.0857870001,1.0004810000,0.0021140000
2457454.0886400002,0.9973610000,0.0021090000
2457454.0901649999,0.9948890000,0.0020920000
2457454.0916869999,0.9971920000,0.0021080000
2457454.0932069998,0.9959920000,0.0021080000
2457454.0947280000,0.9957960000,0.0020990000
2457454.0962490002,0.9977560000,0.0021030000
2457454.0977699999,0.9968370000,0.0021240000
2457454.0992919998,0.9964910000,0.0022970000
2457454.1008730000,0.9928130000,0.0020850000
2457454.1023960002,0.9933950000,0.0021010000
2457454.1051460002,0.9882850000,0.0020750000
2457454.1066649999,0.9949100000,0.0020820000
2457454.1081829998,0.9924680000,0.0020980000
2457454.1097019999,0.9973650000,0.0021250000
2457454.1112210001,0.9967340000,0.0020930000
2457454.1127410000,0.9982610000,0.0020890000
2457454.1142600002,0.9956370000,0.0020960000
2457454.1157789999,0.9945620000,0.0021730000
2457454.1172969998,0.9898590000,0.0020870000
2457454.1188130002,0.9962070000,0.0020980000
2457454.1214510002,0.9949150000,0.0020990000
2457454.1230009999,0.9967870000,0.0021250000
2457454.1245550001,0.9957390000,0.0020980000
2457454.1260950002,0.9966870000,0.0021170000
2457454.1291620000,0.9913820000,0.0021460000
2457454.1307089999,0.9951350000,0.0020950000
2457454.1322240001,0.9955510000,0.0021000000
2457454.1337420000,1.0021850000,0.0021090000
2457454.1352590001,0.9989210000,0.0021140000
2457454.1380770002,0.9990510000,0.0021100000
2457454.1396050001,0.9985190000,0.0021130000
2457454.1411339999,0.9990940000,0.0021200000
2457454.1457110001,0.9981580000,0.0021280000
2457454.1472410001,1.0054390000,0.0021590000
2457454.1487639998,1.0002400000,0.0021490000
2457454.1502910000,0.9997380000,0.0021710000
2457454.1518150000,1.0039290000,0.0025980000
2457454.1544690002,1.0036490000,0.0021970000
2457454.1560129998,1.0004430000,0.0021630000
2457454.1575600002,0.9984060000,0.0021820000
2457454.1590749999,1.0035360000,0.0022130000
2457454.1621470000,1.0006970000,0.0022340000
2457454.1636830000,1.0042210000,0.0023810000
2457454.1652400000,1.0000820000,0.0023170000
2457454.1667880001,0.9971420000,0.0022510000
2457454.1683390001,0.9948380000,0.0023030000
2457454.1710250000,1.0058400000,0.0022810000
2457454.1725400002,0.9947950000,0.0022240000
2457454.1740850001,0.9981850000,0.0022230000
2457454.1756279999,0.9981890000,0.0024510000
2457454.1771709998,0.9974130000,0.0022640000
2457454.1786880000,1.0036920000,0.0023990000
2457454.1802440002,1.0020800000,0.0024250000
2457454.1817600001,0.9953550000,0.0024940000
2457454.1832770002,0.9986700000,0.0023290000
2457454.1848229999,0.9932650000,0.0025580000
2457454.1874480001,0.9902710000,0.0025120000
2457454.1890019998,0.9938610000,0.0025120000
2457454.1905210000,1.0096940000,0.0026330000
2457454.1920679999,0.9971510000,0.0026050000
2457454.2035360001,0.9971550000,0.0024230000
2457454.2051340002,0.9942210000,0.0024610000
2457454.2066580001,0.9991670000,0.0024810000
2457454.2081860001,0.9922980000,0.0025180000
2457454.2097120001,1.0110140000,0.0025620000
2457454.2112400001,0.9939170000,0.0024960000
2457454.2127689999,0.9967290000,0.0025340000
2457454.2142960001,1.0013870000,0.0026500000
2457454.2158240001,0.9966000000,0.0025880000
2457454.2173500000,1.0009470000,0.0026050000
2457454.2205840000,0.9893120000,0.0027200000
2457454.2221180000,0.9990640000,0.0027270000
2457454.2236549999,0.9918670000,0.0026970000
2457454.2267310000,0.9971710000,0.0028650000
2457454.2298050001,0.9978490000,0.0028400000
2457454.2313440000,0.9943840000,0.0029640000
